0:0:0:0:0:0:0:1 - - [16/Mar/2021:15:11:05 +0900] "GET /jQuery/chap03/e_exam01.html HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [16/Mar/2021:15:11:06 +0900] "GET /jQuery/chap03/e_exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:15:11:23 +0900] "GET /jQuery/chap03/e_exam01.html HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [16/Mar/2021:15:11:49 +0900] "GET /jQuery/chap03/e_exam01.html HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [16/Mar/2021:15:13:54 +0900] "GET /jQuery/chap03/e_exam01.html HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [16/Mar/2021:15:17:15 +0900] "GET /jQuery/chap03/e_exam01.html HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [16/Mar/2021:15:26:26 +0900] "GET /jQuery/chap03/e_exam02.html HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [16/Mar/2021:15:28:23 +0900] "GET /jQuery/chap03/e_exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:15:29:32 +0900] "GET /jQuery/chap03/e_exam02.html HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [16/Mar/2021:15:36:43 +0900] "GET /jQuery/chap04/index.html HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [16/Mar/2021:15:36:43 +0900] "GET /jQuery/chap04/gettysburg.css HTTP/1.1" 200 1441
0:0:0:0:0:0:0:1 - - [16/Mar/2021:15:36:43 +0900] "GET /jQuery/chap04/jquery.js HTTP/1.1" 200 248235
0:0:0:0:0:0:0:1 - - [16/Mar/2021:15:36:43 +0900] "GET /jQuery/chap04/gettysburg.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:15:40:55 +0900] "GET /jQuery/chap04/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:15:40:55 +0900] "GET /jQuery/chap04/gettysburg.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:15:40:55 +0900] "GET /jQuery/chap04/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:15:40:55 +0900] "GET /jQuery/chap04/gettysburg.js HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [16/Mar/2021:15:49:31 +0900] "GET /jQuery/chap04/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:15:49:31 +0900] "GET /jQuery/chap04/gettysburg.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:15:49:31 +0900] "GET /jQuery/chap04/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:15:49:31 +0900] "GET /jQuery/chap04/gettysburg.js HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [16/Mar/2021:15:49:59 +0900] "GET /jQuery/chap04/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:15:49:59 +0900] "GET /jQuery/chap04/gettysburg.js HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [16/Mar/2021:15:52:34 +0900] "GET /jQuery/chap04/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:15:52:34 +0900] "GET /jQuery/chap04/gettysburg.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:15:52:34 +0900] "GET /jQuery/chap04/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:15:52:34 +0900] "GET /jQuery/chap04/gettysburg.js HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [16/Mar/2021:15:52:35 +0900] "GET /jQuery/chap04/index.html HTTP/1.1" 304 -
